start_time,home,away,home_score,away_score,winner
2026-04-18 11:30,Army,Mercyhurst,,,
2026-04-18 12:20,Merchant Marine,Iowa State,,,
2026-04-18 13:10,UMass,RPI,,,
2026-04-18 14:00,Army,Merchant Marine,,,
2026-04-18 14:50,Iowa State,RPI,,,
2026-04-18 15:40,Mercyhurst,UMass,,,
2026-04-18 16:30,Merchant Marine,RPI,,,
2026-04-18 17:20,Army,UMass,,,
2026-04-19 09:30,Iowa State,Mercyhurst,,,
2026-04-19 10:30,Army,RPI,,,
2026-04-19 11:30,Mercyhurst,Merchant Marine,,,
2026-04-19 12:30,UMass,Iowa State,,,
2026-04-19 13:30,Mercyhurst,RPI,,,
2026-04-19 14:30,UMass,Merchant Marine,,,
2026-04-19 15:30,Army,Iowa State,,,
