name,home_bg,home_text,away_bg,away_text
RPI,#800000,#FFFFFF,#FFFFFF,#000000
NYU,#4B0082,#FFFFFF,#B266FF,#000000
Army,#000000,#FFD700,#AAAAAA,#000000
Syracuse,#FF6600,#000000,#FFD699,#000000
Coast Guard,#003366,#FFFFFF,#99CCFF,#000000
Cornell,#CC0000,#FFFFFF,#FFFFFF,#000000
Columbia,#0033A0,#FFFFFF,#99CCFF,#000000
WPI,#620000,#FFFFFF,#D4747C,#000000
UMass,#881C1C,#FFFFFF,#C06060,#000000
UVM,#00B140,#FFFFFF,#66CC88,#000000
Dartmouth,#00693E,#FFFFFF,#66AA88,#000000
Wesleyan,#C41230,#FFFFFF,#D96070,#000000
Colgate,#821019,#FFFFFF,#A0A5AA,#000000
Rochester,#003B71,#FFD100,#336699,#FFD100
Mercyhurst,#1C4037,#FFFFFF,#002E5F,#FFFFFF
Merchant Marine,#093A88,#FFFFFF,#6C6C6C,#FFFFFF
Iowa State,#C8102E,#FFFFFF,#F1BE48,#000000
